"id","type","model_name","source_uri","x","y","z","roll","pitch","yaw"
"1","tree","new_tree_1","model://new_tree_1/meshes/new_tree_1.obj","6.17349","12.71759","0","0","0","0"
"2","tree","new_tree_1_clone","model://new_tree_1/meshes/new_tree_1.obj","10.32234","23.02849","0","0","0","0"
"3","tree","new_tree_2","model://new_tree_2/meshes/new_tree_2.obj","14.44552","7.16797","0","0","0","0"
"4","tree","new_tree_2_clone","model://new_tree_2/meshes/new_tree_2.obj","13.02842","14.0898","0","0","0","0"
"5","tree","new_tree_2_clone_clone","model://new_tree_2/meshes/new_tree_2.obj","11.89332","17.4192","0","0","0","0"
"6","tree","new_tree_2_clone_clone_clone","model://new_tree_2/meshes/new_tree_2.obj","3.79604","19.6112","0","0","0","0"
"7","tree","new_tree_3","model://new_tree_3/meshes/new_tree_3.obj","3.94564","4.88602","0.02551","0","0","0"
"8","tree","new_tree_3_clone","model://new_tree_3/meshes/new_tree_3.obj","9.61677","4.90838","0.02551","0","0","0"
"9","bush","new_shrub_2","model://new_shrub_2/meshes/new_shrub_2.obj","5.60143","12.7912","0","0","0","0"
"10","bush","new_shrub_2_clone","model://new_shrub_2/meshes/new_shrub_2.obj","11.3118","17.8135","0","0","0","0"
"11","bush","new_shrub_2_clone_clone","model://new_shrub_2/meshes/new_shrub_2.obj","12.9397","15.3462","0","0","0","0"
"12","bush","new_shrub_2_clone_clone_clone","model://new_shrub_2/meshes/new_shrub_2.obj","13.0294","17.458","0","0","0","0"
"13","bush","new_shrub_3","model://new_shrub_3/meshes/new_shrub_3.obj","14.3276","6.6262","0","0","0","0"
"14","bush","new_shrub_3_0","model://new_shrub_3/meshes/new_shrub_3.obj","6.50809","12.6599","0","0","0","0"
"15","bush","new_shrub_3_clone","model://new_shrub_3/meshes/new_shrub_3.obj","14.9783","7.23598","0","0","0","0"
"16","bush","new_shrub_4","model://new_shrub_4/meshes/new_shrub_4.obj","9.55912","4.68947","0","0","0","0"
"17","bush","new_shrub_4_0","model://new_shrub_4/meshes/new_shrub_4.obj","14.486","7.36772","0","0","0","0"
"18","bush","new_shrub_4_clone","model://new_shrub_4/meshes/new_shrub_4.obj","10.1872","3.74432","0","0","0","0"
